X,Y,Surface,Bed,Thk,Surface Velocity,Gflux,Accumulation Rate,Basal Melt
11000.0,96500.0,1439.0,-1205.0,2644.0,4.1021285,91.4341630431307,0.42012548200326527,-5.2074900668230836e-05
10500.0,96000.0,1439.0,-1203.0,2642.0,3.3250039,91.49205389515991,0.4211526915083038,-3.492081574222538e-05
11000.0,96000.0,1439.0,-1197.0,2636.0,3.8702278,91.53440762506803,0.41944603707485834,-5.820135957037564e-05
11500.0,96000.0,1439.0,-1185.0,2624.0,4.1666512,91.57676135497614,0.41785333065081115,-8.14819033985259e-05
10500.0,95500.0,1438.0,-1212.0,2650.0,2.5844507,91.59217606224183,0.42047424524461063,-0.0004007269620342416
11000.0,95500.0,1438.0,-1206.0,2644.0,3.3288167,91.63465220700536,0.4187665921464514,-0.0005216584682784746
11500.0,95500.0,1438.0,-1182.0,2620.0,3.653973,91.67712835176887,0.4171728879059131,-0.0006425899745227076
12000.0,95500.0,1438.0,-1180.0,2618.0,3.8508685,91.71960449653237,0.41557918366537505,-0.0007635214807669406
12500.0,95500.0,1438.0,-1182.0,2620.0,4.3660655,91.76208064129588,0.4139854794248368,-0.0008844529870111735
10000.0,95000.0,1438.0,-1209.0,2647.0,1.7964244,91.64969966970487,0.42151039909429977,-0.0008148805317614461
10500.0,95000.0,1438.0,-1225.0,2663.0,1.9831156,91.69229822932377,0.41979579898091746,-0.0011286633792769861
11000.0,95000.0,1438.0,-1238.0,2676.0,2.3160963,91.73489678894268,0.41808714721804446,-0.0014424462267925266
11500.0,95000.0,1438.0,-1201.0,2639.0,2.6422698,91.77749534856159,0.4164924451610153,-0.0017562290743080669
12000.0,95000.0,1438.0,-1180.0,2618.0,3.3068266,91.8200939081805,0.41489774310398614,-0.0020700119218236075
12500.0,95000.0,1438.0,-1171.0,2609.0,2.9497027,91.8626924677994,0.41330304104695703,-0.002383794769339148
13000.0,95000.0,1438.0,-1173.0,2611.0,2.6777136,91.90529102741829,0.41170833898992787,-0.002697577616854688
13500.0,95000.0,1438.0,-1184.0,2622.0,3.354387,91.94788958703721,0.41011363693289876,-0.0030113604643702283
9500.0,94500.0,1436.0,-1192.0,2628.0,0.8368619,91.70697844745713,0.42254855036197353,-0.0010418160876724868
10000.0,94500.0,1437.0,-1201.0,2638.0,0.9347437,91.74969942193142,0.4208329515395989,-0.0013499656077328836
10500.0,94500.0,1437.0,-1208.0,2645.0,1.2633001,91.7924203964057,0.4191173527172242,-0.0018565997965197308
11000.0,94500.0,1437.0,-1206.0,2643.0,1.3439659,91.83514137088002,0.4174077022896375,-0.0023632339853065787
11500.0,94500.0,1437.0,-1186.0,2623.0,1.2644353,91.87786234535434,0.41581200241611743,-0.002869868174093426
