X,Y,X',Y',Surface,Bed,Thk,Surface Velocity,Gflux,Accumulation Rate,Basal Melt
-1424760.0,-309800.0,0.0,0.1949176665410726,1262.82,-1195.708,2458.528,4.9054,94.58262948136395,0.5167921730525235,-1.981183513998985e-06
-1424291.9817533966,-309023.0897106384,0.0035432470453315313,0.20079945663632226,1264.5377840855163,-1262.3227109328925,2526.860495018409,5.1161346,94.63990180272904,0.5150999997900612,-4.898649803202353e-06
-1423823.9635067931,-308246.1794212767,0.007086494090663063,0.20668124673157237,1266.0011303336014,-1320.864182584252,2586.8653129178533,4.2905884,94.69726928893915,0.51340201803805,-6.5654658244418435e-06
-1423355.94526019,-307469.26913191506,0.010629741135992831,0.21256303682682248,1266.5614617361698,-1268.2238079008964,2534.7852696370664,5.1004405,94.75473193999424,0.5119258320855691,-6.9816315777164915e-06
-1422887.9270135865,-306692.3588425534,0.014172988181324363,0.2184448269220726,1267.7559470636522,-1196.7177722790298,2464.4737193426818,5.4516506,94.81228975589437,0.5105267677960809,-6.147147063028586e-06
-1422419.908766983,-305915.44855319185,0.017716235226655896,0.22432661701732182,1270.2168407209624,-1160.692849726171,2430.9096904471335,5.285245,94.86994273663952,0.5091160882582721,-4.062012280377341e-06
-1421951.8905203796,-305138.5382638302,0.021259482271987425,0.23020840711257196,1272.8191424315803,-1156.3477544675798,2429.1668968991603,4.025645,94.92769088222968,0.5076937934721429,-7.262272297618224e-07
-1421483.8722737762,-304361.6279744685,0.02480272931731896,0.23609019720782207,1274.8955732471761,-1151.7097181612037,2426.60529140838,4.443778,94.98553419266486,0.5062598834376932,0.0
-1421015.854027173,-303584.7176851069,0.028345976362648725,0.24197198730307173,1277.330564629786,-1122.5513952917668,2399.8819599215526,5.1895885,95.0436791079157,0.504814358154924,0.0
-1420547.8357805694,-302807.80739574524,0.03188922340798202,0.24785377739832185,1278.8843852085097,-1063.3964517371292,2342.280836945639,4.394609,95.10255444254824,0.5033572176238318,0.0
-1420079.817533966,-302030.8971063836,0.035432470453313554,0.25373556749357196,1280.2469907381678,-1011.73873266754,2291.985723405708,4.25849,95.16155575157595,0.5020029157498432,0.0
-1419611.7992873625,-301253.9868170219,0.038975717498645084,0.2596173575888221,1281.7156249406812,-978.1945923179827,2259.910217258664,3.371633,95.22068303499883,0.5006456336969493,-0.003240732126536394
-1419143.7810407593,-300477.0765276603,0.04251896454397485,0.26549914768407173,1282.758284863161,-951.0933175656562,2233.851602428817,2.3494127,95.27993629281686,0.4992796406405106,-0.0037468475412541238
-1418675.7627941559,-299700.16623829864,0.04606221158930638,0.2713809377793219,1285.3966163467794,-901.1275476141261,2186.5241639609058,3.1164825,95.32772907448205,0.4979459999068595,-0.0024111418927453797
-1418207.7445475524,-298923.25594893703,0.04960545863463792,0.2772627278745715,1289.5897929529838,-841.6152996742862,2131.20509262727,4.02672,95.35714326109262,0.49670461637185004,-0.0027238947133406705
-1417739.726300949,-298146.3456595754,0.053148705679969446,0.2831445179698212,1295.2732105291504,-817.7470863491048,2113.020296878255,2.8768044,95.38658393406598,0.49545161758851997,-0.002754934190020458
-1417271.7080543456,-297369.43537021376,0.056691952725300976,0.2890263080650713,1300.587464824808,-801.8473638038251,2102.434828628633,2.6612797,95.41605109340223,0.49422112354014164,-0.0025042603227846795
-1416803.6898077424,-296592.5250808521,0.06023519977063074,0.29490809816032143,1305.0266301843747,-792.015080490811,2097.0417106751856,4.1924715,95.44554473910131,0.4930139544003283,-0.0019718731116332338
-1416335.671561139,-295815.6147914905,0.06377844681596227,0.30078988825557107,1309.3948545894823,-799.7544526733373,2109.1493072628195,4.634879,95.47506487116323,0.491798073391579,-0.001157772556566559
-1415867.6533145355,-295038.7045021288,0.0673216938612938,0.3066716783508212,1313.51043689973,-811.623748591897,2125.134185491627,3.3893218,95.50461148958803,0.49057348051389504,-6.195865758428815e-05
-1415399.635067932,-294261.7942127672,0.07086494090662535,0.3125534684460709,1316.6771414386014,-834.8742083939189,2151.5513498325204,1.9722282,95.53418459437565,0.48934017576727595,0.0
-1414931.6168213286,-293484.88392340555,0.07440818795195688,0.318435258541321,1320.1669985105316,-877.7107212745505,2197.8777197850823,2.3717158,95.56378418552612,0.48809815915172217,0.0
-1414463.5985747254,-292707.97363404394,0.07795143499728664,0.3243170486365707,1322.656855582461,-882.4588429455761,2205.115698528037,2.8982205,95.5934102630394,0.4868515603313476,0.0
-1413995.5803281218,-291931.0633446823,0.08149468204261993,0.33019883873182077,1325.9688502720003,-912.1049966178143,2238.073846889815,4.515793,95.62306282691559,0.48565373138588636,0.0
-1413527.5620815186,-291154.1530553206,0.0850379290879497,0.3360806288270709,1328.6365697263216,-938.5302520493935,2267.166821775715,5.950947,95.65274187715457,0.48453325777168943,0.0
-1413059.543834915,-290377.24276595894,0.088581176133283,0.341962418922321,1330.8424511450394,-957.3722273845583,2288.214678529598,6.026497,95.68244741375644,0.48346410034308585,0.0
-1412591.5255883117,-289600.33247659734,0.09212442317861276,0.3478442090175707,1331.1897477817606,-953.5751000361483,2284.7648478179094,5.70561,95.69900039299199,0.48238913442493553,0.0
-1412123.5073417083,-288823.42218723573,0.0956676702239443,0.3537259991128204,1333.8531556255286,-940.6687339442708,2274.5218895697994,5.9450316,95.69749966231176,0.4813083600172349,0.0
-1411655.4890951049,-288046.51189787406,0.09921091726927583,0.35960778920807046,1335.5959980140422,-958.0553562360118,2293.651354250054,4.4136105,95.69593304406773,0.4802217771199853,0.0
